semmeddb ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
x2,0.6932,392,,x2,0.4444,401,,x2,0.7002,392,,x2,0.4132,401,,
dice,0.5168,392,,dice,0.3797,401,,dice,0.5233,392,,dice,0.3422,401,,
odds,0.7061,392,,odds,0.2507,401,,odds,0.7208,392,,odds,0.2617,401,,
leftFisher,0.6711,392,,leftFisher,0.0801,401,,leftFisher,0.6802,392,,leftFisher,0.0801,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.6439,418,,ll,0.2535,430,,ll,0.6256,418,,ll,0.2437,430,,
x2,0.6427,418,,x2,0.3160,430,,x2,0.6271,418,,x2,0.2990,430,,
dice,0.6200,418,,dice,0.2637,430,,dice,0.6131,418,,dice,0.2481,430,,
odds,0.6251,418,,odds,0.1267,430,,odds,0.6217,418,,odds,0.1245,430,,
leftFisher,0.6559,418,,leftFisher,0.0868,430,,leftFisher,0.6372,418,,leftFisher,0.0868,430,,


1975_2015_window8 No Order
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7945,29,,ll,0.5938,29,,ll,0.8105,29,,ll,0.5827,29,,
x2,0.8162,29,,x2,0.5917,29,,x2,0.8281,29,,x2,0.6269,29,,
dice,0.7207,29,,dice,0.4545,29,,dice,0.7228,29,,dice,0.4969,29,,
odds,0.8027,29,,odds,0.3995,29,,odds,0.8134,29,,odds,0.3747,29,,
leftFisher,0.7582,29,,leftFisher,29,29,,leftFisher,0.7582,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8138,29,,ll,0.5991,29,,ll,0.8244,29,,ll,0.5828,29,,
x2,0.8419,29,,x2,0.6194,29,,x2,0.8484,29,,x2,0.6494,29,,
